text,rating
"Парфюм оригинальный. Всё, как в профессиональном магазине. :) Обожаю их! Доставка в город быстрая!",5
Мой любимый DKNY. Запах просто шикарный. Спасибо Kaspi.kz и Parfum-shop.kz,5
,5
,5
"Запах просто классный, как раз то, что мне нужно в летнее время. Принимаю душ и брызгаюсь, а дальше парфюм делает своё дело - он проявляет не запах какого-то парфюма, а мой, именно запах моего тела после душа, такой чистый запах, а после, когда уже температура тела горячая, аромат будто уже проявляет себя, запах каких-то нежных цветов, и то едва уловим, появляется и снова исчезает, будто порхает, не похож не на какие другие. Я рада, что приобрела данный аромат, мне как раз нравится, когда я не слышу свой парфюм у других рядом находящихся людей",4
"Парфюм хороший, оригинал! Магазин Parfum-Shop-kz отличный, покупал не раз! Но пользуйтесь самовывозом! Спасибо Каспий Магазину! Удобно, быстро!",5
Доставка работает супер!,5
,2
,5
,5
Очень долго ждала появления на Kaspi.kz!,5
,5
,5
,5
"Доставка быстрая, очень вежливый сервис.",3
,1
,1
,5
,5
,5
,5
,4
"Заказ сделал вовремя, так как через несколько дней товар значительно подорожал!",5
,5
,5
,1
Шикарный,5
,2
Отличный парфюм! Запах оригинал,5
Не пожалеете,4
,1
,5
Супер!,5
,5
,1
,3
,5
,1
,1
,5
Духи супер.,5
,1
,1
"Иісі өте керемет, маған унады",5
Брала для сына.,3
,5
,5
,3
,5
Очень нравится этот аромат! Доставка очень быстрая!,5
,5
,5
,5
,5
Доставка очень быстрая,5
Мне очень понравилось! Спасибо.,5
,5
,5
,2
,5
,5
,5
"Давно пользуюсь Фаренгейтом, запах отличный.",5
,1
,5
,5
,5
,5
,5
Супер,5
,1
,5
Спасибо за доставку.,5
"Очень хороший товар, качество супер!",5
,5
"Запах стойкий, мне очень понравилось!",5
"Все было вовремя и оперативно! Парфюм - нет слов, ежедневно получаешь комплименты от дам)",5
,3
,1
,5
,5
"Мне больше сильвер маунтин нравится, чем авентус",4
,5
,5
,5
,5
,5
,5
"Все отлично, мне товар очень понравился",5
,5
"Парфюм отличный, по срокам доставки всего на 2-3 дня опоздали",5
,5
Маған ұнады!,5
,5
Быстрая доставка.,5
,5
"Доставка по Кокшетау ужасна.
Первый раз пришлось отказаться от доставки (неадекватный диспетчер). Перезаказывала во второй раз.
Доставка по почте супер.",5
Флакон приятный,3
,5
Устойчивый запах. Покупайте,5
,5
"Купила мужу, он в восторге!",5
,1
,5
,3
,5
,3
"Ноты, описанные в парфюме, не услышала. Абсолютно не соответствует. Ни фруктовых, ни цветочных нот. Приторная, пудренная сладость, не люблю такой. Второй раз не глядя заказала и опять ошиблась, очень расстроилась. Больше не буду полагаться на отзывы и описание. Нужно пробовать в магазине перед заказом.",1
"Аромат шикарный, но цены в Parfum.kz чересчур завышены, хотя они не являются официальными дистрибюторами. 53 000 за 50 мл, согласитесь, дорого. ",5
Также хочу выразить огромную благодарность Каспи Магазину за возможность покупать любой товар не выходя из дома.,5
Класс!,5
"Магазин хороший, запах стойкий",5
"Не советую, нестойкий запах. Наверное, не оригинал.",1
Доставили очень быстро.,1
,5
"С Lacoste я знакома давно. Люблю этот аромат. Он классный! Кто не пробовал, попробуйте, не пожалеете. Спасибо магазину APG техникс и сотрудникам. Это не первая моя покупка у них. И, конечно, спасибо Кaspi.kz!",5
Супер,5
,5
,5
"Запах уже не тот, в составе что-то поменялось. Раньше в 2004 году когда его покупала, был совсем другой аромат",3
,1
"Не покупайте, не советую.",1
Духи супер.,4
,3
,5
,5
,3
,5
,5
,3
Хороший аромат и стойкий.,5
,4
"Духи оригинальные, жена довольна подарком. Спасибо Каспи)",5
"Доставка быстро, молодцы.",5
,5
,5
"Товар хороший, но запах долго не держится.",3
,5
,5
,5
,5
,5
"Сам монталь хороший, но этот запах не мой. Я люблю нежный запах",5
"Спасибо курьеру и магазину Сулу, вовремя принесли",5
,5
Запах класс,5
,5
,5
,5
,4
,5
,5
"Купила данный одеколон сыну в подарок, он остался очень доволен! Спасибо!",5
Отличный товар.,5
Своевременная доставка.,5
,3
Все классно,5
,5
"Я безумно рада, что приобрела эти духи",5
"Доставка во время. LANVIN, как я и ожидала, супер",5
"Нежный, стойкость 4-5 часов",4
,5
Аромат просто класс,5
"Ночью заказала, на следующий день позвонили и уже днем доставили, APG техникс",4
,5
Хороший аромат,5
,1
,5
,3
"Цена просто удивила, очень мило получить доставку и качественный продукт. Обычно в дюти фри на распродаже можно только найти за 10-13 евро, и то, если повезёт. Спасибо.",5
,5
,5
,4
Спасибо доставщику за доставку!,2
,5
,2
,4
Никогда больше не буду покупать этот аромат,1
,5
,1
Спасибо магазину и Каспи. Буду заказывать ещё!,5
Товар отличный. Арамат для деловых женщин.,5
,1
,5
,5
Быстрая доставка.,5
,1
,5
,5
,5
,4
,2
,5
"Вкусный аромат, доставили в тот же день",5
,5
,4
Быстрая доставка,2
"Жаль, конечно! Стоит совсем новый!",1
"В ""Дионе"" попробовала тестер аромата в пятницу днём, держался долго, до следующего дня. Но там он стоил 17 тысяч) Аромат очень понравился, решила заказать через Каспи, цена 12477 тенге.",5
,5
,5
,5
Запах шикарный. Я довольна,5
"Аромат супер! Товар доставили раньше намеченного срока, что очень порадовало вдвойне)",5
,5
,4
,5
,5
"Этот аромат мне уже известен, долго искала, и наконец-то он у меня! Упаковка в два слоя, курьер вежливый, доставка вовремя. Спасибо Каспи Магазину!",5
"Хорошее качество товара, запах стойкий.",5
Супер,5
Запах просто офигенный,5
"Өте жақсы, маған ұнады. Рахмет сіздерге!",5
,5
"Товар соответствует описанию. Брала в подарок на Новый год. Очень порадовала доставка, успели к празднику. Хорошо упакована, без помятости. Довольны. Спасибо Каспи",5
"Запах не тот, который я ожидала. По цене не соответствует качеству",3
,5
,5
"Запах хороший, но не стойкий.",5
,5
Жена в восторге от подарка. Спасибо Каспи за такую возможность приобрести в рассрочку без переплаты. Очень хороший банк. Вам нет равных. Духи оригинал. Розлив Франция.,5
"Буду заказывать ещё через Каспи. Жаль, пробников нет)",5
"Сәлеметсіздерме. Әйеліме туылған күніне сыйладым, ұнатты. Қызметті де тез жасап, үйге алып келіп берді, раxмет",5
Доставили раньше срока. Спасибо Каспи за оперативность,3
"Мягкий, очень нежный аромат",5
"Доставка была, но они часто звонили и просили, чтоб мы забрали, но все же мое упорство заставило их донести до квартиры",5
"Не пожалела, что заказала)",5
,5
,3
"Вроде парфюм, но как туалетная вода",3
"Я долго мечтала. Я очень рада, что мечта моя сбылась. Спасибо вам, отлично. Товар оригинал. Курьер сам встретил.",5
,4
Любимый парфюм,5
"Я сделал подарок маме, она была очень рада",5
,3
,5
"Все очень оперативно, быстро доставили. Дарила маме на 8 марта, ей очень понравилось, классный запах, главное, оригинал, рекомендую!",5
"Спасибо. Мой любимый парфюм. И за доставку спасибо, я с Астаны заказала сестре в Алмату. Ей тоже очень понравилось. Дарите подарки друг другу, цените каждый миг.",5
,5
,2
"Купил в подарок маме, запах прикольный, но, к сожалению, нестойкий",3
,5
Запах просто класс. Рекомендую.,5
,5
,4
,4
,5
"Аромат классный, но не очень стойкий! Быстрая доставка, упаковали отлично.",5
,1
,5
,5
,1
,4
,5
,5
,5
"Духи соответствуют: цена=качество. Товар пришел раньше заявленного срока, это было, конечно, моим удивлением, и большим плюсом для магазина. Спасибо большое, что радуете нас и делаете нас вкуснее!",5
,5
Вовремя доставили. Курьер очень вежливый. Буду и дальше пользоваться услугами.,5
,3
,5
,5
,5
,5
Спасибо parfum shop за доставку.,5
,5
,5
,4
,5
"Все круто. И дешевле, чем в магазинах у нас, ещё и в рассрочку.) Привезли быстро, за 5 дней. Сами духи оригинал",5
Восхитительный аромат,5
,5
Отличный аромат,5
,5
Шикарный аромат,5
"Спасибо! Получила свой заказ, оригинал. Запах тот же. Доставка очень быстрая и оперативная!",5
"Я давно пользуюсь этим духами, они классные",5
"Товар пришёл быстро, в отличном состоянии. Качество обслуживания понравилось, буду в дальнейшем обращаться. ",4
,5
,5
,5
,5
,5
Быстро доставили,5
"Один из моих любимых запахов, товар оригинал. Доставка быстрая на следующий день, плюс предоставили из магазина скидки на следующие покупки. Я довольна ",5
,5
Привезли товар на день раньше срока. Спасибо,5
,5
,5
